Wall time,Step,Value
1591800596.770369,0,0.22272470593452454
1591800694.253491,1,0.2453363537788391
1591800784.588328,2,0.2549462914466858
1591800874.111278,3,0.2928208112716675
1591800964.55054,4,0.33860939741134644
1591801055.946655,5,0.3431317210197449
1591801154.71004,6,0.37987563014030457
1591801247.857595,7,0.37874504923820496
1591801340.879834,8,0.42792537808418274
1591801434.389491,9,0.42792537808418274
1591801527.463705,10,0.4460147023200989
1591801627.946113,11,0.4511023163795471
1591801720.843611,12,0.4759751260280609
1591801812.620332,13,0.484454482793808
1591801907.931032,14,0.49462974071502686
1591802002.355789,15,0.5070661306381226
1591802100.131592,16,0.5223289728164673
1591802189.541199,17,0.5268513560295105
1591802279.347508,18,0.5415489077568054
1591802369.409386,19,0.5528547167778015
1591802459.636124,20,0.5545505881309509
1591802557.994593,21,0.5692481398582458
1591802647.984607,22,0.5788581371307373
1591802738.720681,23,0.5635952353477478
1591802830.284915,24,0.5924251079559326
1591802920.552062,25,0.6042962074279785
1591803019.248494,26,0.6054267883300781
1591803110.747558,27,0.6127755641937256
1591803203.334812,28,0.6167325973510742
1591803294.790113,29,0.6257773041725159
1591803387.439712,30,0.6438665986061096
1591803485.765572,31,0.6546071171760559
1591803575.888,32,0.6534765362739563
1591803669.482813,33,0.6636517643928528
1591803761.352361,34,0.6794799566268921
1591803854.165659,35,0.6890898942947388
1591803954.25677,36,0.6981345415115356
1591804047.089663,37,0.7179197072982788
1591804138.038369,38,0.7105709314346313
1591804227.943238,39,0.7507066130638123
1591804318.903264,40,0.7524024844169617
1591804417.531911,41,0.7377049326896667
1591804508.350197,42,0.7755794525146484
1591804599.294893,43,0.7772753238677979
1591804691.138473,44,0.7727529406547546
1591804781.841627,45,0.8106274604797363
1591804880.544851,46,0.8157150745391846
1591804970.312838,47,0.8349350094795227
1591805059.50427,48,0.84284907579422
1591805148.68651,49,0.8530243039131165
1591805237.915308,50,0.8733747601509094
1591805336.110292,51,0.8920294046401978
1591805425.290275,52,0.8993781805038452
1591805514.478007,53,0.902769923210144
1591805603.675855,54,0.9191633462905884
1591805692.842237,55,0.9135104417800903
1591805790.36456,56,0.8886376619338989
1591805879.552723,57,0.931034505367279
1591805968.732875,58,0.9406444430351257
1591806058.02094,59,0.931034505367279
1591806147.333878,60,0.9434708952903748
1591806244.713989,61,0.9412097334861755
1591806333.85053,62,0.9265121817588806
1591806423.058469,63,0.9666478037834167
1591806512.677836,64,0.9570378661155701
1591806606.405661,65,0.9683436751365662
1591806706.676065,66,0.9609948992729187
1591806797.806826,67,0.968908965587616
1591806887.505249,68,0.9474279284477234
1591806976.807107,69,0.9677783846855164
1591807066.322848,70,0.9638213515281677
1591807165.805204,71,0.9706048369407654
1591807257.380058,72,0.9836065769195557
1591807349.602552,73,0.9626907706260681
1591807440.002793,74,0.9632560610771179
1591807529.872127,75,0.976823091506958
1591807629.679599,76,0.974561870098114
1591807723.003778,77,0.968908965587616
1591807814.189974,78,0.9530808329582214
1591807908.117186,79,0.9785189628601074
1591808002.174776,80,0.976823091506958
1591808103.917333,81,0.9615601897239685
1591808194.387968,82,0.9773883819580078
1591808285.841091,83,0.9773883819580078
1591808376.859557,84,0.9898247718811035
1591808467.266391,85,0.9734312891960144
1591808566.030674,86,0.9694742560386658
1591808656.935998,87,0.9807801246643066
1591808748.012321,88,0.982475996017456
1591808837.81152,89,0.9819107055664062
1591808927.270908,90,0.982475996017456
1591809025.561581,91,0.945732057094574
1591809114.996609,92,0.9847371578216553
1591809204.379243,93,0.9819107055664062
1591809293.956585,94,0.9903900623321533
1591809383.628462,95,0.9915206432342529
1591809482.135019,96,0.9576031565666199
1591809572.556528,97,0.9728659987449646
1591809664.423949,98,0.9751272201538086
1591809757.446137,99,0.9728659987449646
