Wall time,Step,Value
1591800597.100394,0,146.3745880126953
1591800694.543179,1,138.8424072265625
1591800784.644086,2,131.66773986816406
1591800874.395286,3,124.8379135131836
1591800964.837747,4,118.4317855834961
1591801056.005475,5,112.33343505859375
1591801154.989685,6,106.56513214111328
1591801248.141251,7,101.0691146850586
1591801341.158897,8,95.87570190429688
1591801434.667853,9,90.93621063232422
1591801527.752523,10,86.36817169189453
1591801628.237453,11,81.96884155273438
1591801721.1384,12,77.65151977539062
1591801812.905582,13,73.69913482666016
1591801908.523664,14,69.88301849365234
1591802002.641684,15,66.3205337524414
1591802100.195401,16,62.97285461425781
1591802189.826729,17,59.70020294189453
1591802279.630487,18,56.693729400634766
1591802369.695592,19,53.76520538330078
1591802459.921715,20,51.05471420288086
1591802558.272914,21,48.52098846435547
1591802648.265043,22,46.04361343383789
1591802738.766259,23,43.6635627746582
1591802830.5764,24,41.47454833984375
1591802920.835087,25,39.354915618896484
1591803019.528162,26,37.439292907714844
1591803111.029026,27,35.69497299194336
1591803203.613528,28,34.05499267578125
1591803295.072697,29,32.01995849609375
1591803387.715854,30,30.665964126586914
1591803486.050387,31,29.012895584106445
1591803576.176255,32,27.552326202392578
1591803669.768677,33,26.41073226928711
1591803761.644689,34,24.883647918701172
1591803854.454478,35,23.906116485595703
1591803954.546813,36,22.53679084777832
1591804047.139668,37,21.555444717407227
1591804138.324142,38,20.566314697265625
1591804228.233937,39,19.480066299438477
1591804319.192717,40,18.606956481933594
1591804417.811027,41,17.588367462158203
1591804508.63758,42,16.822154998779297
1591804599.571054,43,16.109846115112305
1591804691.422502,44,15.27193832397461
1591804782.123077,45,14.819657325744629
1591804880.824715,46,14.182180404663086
1591804970.600359,47,13.524147033691406
1591805059.785023,48,13.05070972442627
1591805148.968999,49,12.38959789276123
1591805238.19521,50,12.353053092956543
1591805336.387763,51,11.40234661102295
1591805425.5724,52,11.29886531829834
1591805514.756483,53,10.473135948181152
1591805603.957485,54,10.157341003417969
1591805693.125571,55,10.045247077941895
1591805790.651652,56,9.760257720947266
1591805879.844443,57,9.086237907409668
1591805969.019954,58,9.513895034790039
1591806058.313007,59,8.449028015136719
1591806147.622504,60,8.164557456970215
1591806245.006418,61,8.060053825378418
1591806334.141182,62,7.487237453460693
1591806423.350461,63,7.642822742462158
1591806512.968033,64,7.344684600830078
1591806606.694112,65,6.889413356781006
1591806706.970196,66,6.7533111572265625
1591806797.895939,67,7.0782365798950195
1591806887.797095,68,6.109066963195801
1591806977.098454,69,6.193660259246826
1591807066.61562,70,6.166027069091797
1591807166.092148,71,5.621081352233887
1591807257.426594,72,5.627162456512451
1591807349.894019,73,5.5600996017456055
1591807440.295461,74,5.038601398468018
1591807530.162738,75,5.183874607086182
1591807629.972395,76,6.2121262550354
1591807723.290271,77,5.587218761444092
1591807814.482405,78,4.622154235839844
1591807908.409045,79,4.576513767242432
1591808002.468115,80,6.579917907714844
1591808104.211225,81,4.4696574211120605
1591808194.678487,82,5.080073356628418
1591808286.129643,83,4.278668403625488
1591808377.147318,84,4.3011298179626465
1591808467.556529,85,4.029945373535156
1591808566.341101,86,3.996486186981201
1591808657.234125,87,4.095329761505127
1591808748.301543,88,3.7529401779174805
1591808838.102562,89,3.9933183193206787
1591808927.562346,90,3.998283624649048
1591809025.854706,91,3.589846134185791
1591809115.289471,92,3.8727433681488037
1591809204.673424,93,3.757420063018799
1591809294.249824,94,3.868364095687866
1591809383.917709,95,3.9395978450775146
1591809482.42681,96,3.3042445182800293
1591809572.586043,97,3.4793295860290527
1591809664.478525,98,3.363776445388794
1591809757.73803,99,3.25892972946167
