Wall time,Step,Value
1591800597.100541,0,0.20976252853870392
1591800694.543333,1,0.20976252853870392
1591800784.644291,2,0.240105539560318
1591800874.395439,3,0.3153034448623657
1591800964.83789,4,0.31926122307777405
1591801056.005641,5,0.35092347860336304
1591801154.989915,6,0.3482849597930908
1591801248.141415,7,0.3799472153186798
1591801341.159041,8,0.3812665045261383
1591801434.668002,9,0.4155672788619995
1591801527.75274,10,0.3931398391723633
1591801628.237603,11,0.38786280155181885
1591801721.138556,12,0.4445910155773163
1591801812.90574,13,0.4472295641899109
1591801908.523823,14,0.47361478209495544
1591802002.641839,15,0.47757256031036377
1591802100.195633,16,0.468337744474411
1591802189.826882,17,0.5026385188102722
1591802279.630669,18,0.4854881167411804
1591802369.695782,19,0.5
1591802459.92187,20,0.5211081504821777
1591802558.273079,21,0.49208444356918335
1591802648.265193,22,0.5039578080177307
1591802738.766409,23,0.5488126873970032
1591802830.576597,24,0.5540897250175476
1591802920.835243,25,0.5527704358100891
1591803019.528319,26,0.539577841758728
1591803111.029203,27,0.5184696316719055
1591803203.613694,28,0.4445910155773163
1591803295.072842,29,0.5738786458969116
1591803387.71604,30,0.49076518416404724
1591803486.050546,31,0.5422163605690002
1591803576.176406,32,0.5751978754997253
1591803669.768829,33,0.5026385188102722
1591803761.644875,34,0.5712401270866394
1591803854.454639,35,0.4986807405948639
1591803954.546967,36,0.565963089466095
1591804047.139832,37,0.565963089466095
1591804138.324291,38,0.5237467288970947
1591804228.234105,39,0.5672823190689087
1591804319.192902,40,0.5738786458969116
1591804417.811184,41,0.5976253151893616
1591804508.637911,42,0.5725593566894531
1591804599.571209,43,0.5778363943099976
1591804691.422651,44,0.6042216420173645
1591804782.123227,45,0.5646438002586365
1591804880.824865,46,0.5672823190689087
1591804970.600548,47,0.5844327211380005
1591805059.785147,48,0.5501319169998169
1591805148.969143,49,0.5646438002586365
1591805238.195353,50,0.5131925940513611
1591805336.38793,51,0.5949867963790894
1591805425.572549,52,0.5158311128616333
1591805514.756704,53,0.5857519507408142
1591805603.957641,54,0.6042216420173645
1591805693.125721,55,0.5686016082763672
1591805790.651798,56,0.5065963268280029
1591805879.844593,57,0.5646438002586365
1591805969.02011,58,0.5290237665176392
1591806058.313179,59,0.5712401270866394
1591806147.622707,60,0.5844327211380005
1591806245.006572,61,0.539577841758728
1591806334.141334,62,0.5870712399482727
1591806423.350619,63,0.5883905291557312
1591806512.968164,64,0.5540897250175476
1591806606.694266,65,0.5844327211380005
1591806706.970342,66,0.5765171647071838
1591806797.896087,67,0.5606859922409058
1591806887.797258,68,0.6002638339996338
1591806977.098609,69,0.583113431930542
1591807066.615755,70,0.5514512062072754
1591807166.092295,71,0.583113431930542
1591807257.426787,72,0.6055408716201782
1591807349.894168,73,0.5804749131202698
1591807440.295618,74,0.602902352809906
1591807530.162896,75,0.5976253151893616
1591807629.972543,76,0.5105540752410889
1591807723.290471,77,0.5382585525512695
1591807814.482563,78,0.5976253151893616
1591807908.409203,79,0.6094986796379089
1591808002.468313,80,0.4696570038795471
1591808104.211381,81,0.5712401270866394
1591808194.678641,82,0.4709762632846832
1591808286.129832,83,0.6015831232070923
1591808377.147476,84,0.579155683517456
1591808467.556667,85,0.6002638339996338
1591808566.341251,86,0.5883905291557312
1591808657.23427,87,0.6002638339996338
1591808748.301712,88,0.6121371984481812
1591808838.102715,89,0.5725593566894531
1591808927.56249,90,0.5897097587585449
1591809025.854863,91,0.5910290479660034
1591809115.289627,92,0.563324511051178
1591809204.67357,93,0.5422163605690002
1591809294.250033,94,0.5738786458969116
1591809383.917886,95,0.563324511051178
1591809482.426953,96,0.5804749131202698
1591809572.586284,97,0.5501319169998169
1591809664.47867,98,0.565963089466095
1591809757.738215,99,0.579155683517456
