Wall time,Step,Value
1591800596.770206,0,150.40553283691406
1591800694.253351,1,142.62229919433594
1591800784.588188,2,135.2761688232422
1591800874.111141,3,128.28936767578125
1591800964.550186,4,121.66007232666016
1591801055.946503,5,115.40026092529297
1591801154.709888,6,109.4502182006836
1591801247.857467,7,103.82907104492188
1591801340.879688,8,98.47441864013672
1591801434.38936,9,93.4111557006836
1591801527.463571,10,88.62178802490234
1591801627.945974,11,84.06877899169922
1591801720.84347,12,79.74665832519531
1591801812.620191,13,75.6572036743164
1591801907.930884,14,71.76493072509766
1591802002.355643,15,68.1017837524414
1591802100.131455,16,64.60738372802734
1591802189.541064,17,61.29096603393555
1591802279.347372,18,58.16288757324219
1591802369.40924,19,55.195125579833984
1591802459.635979,20,52.36345291137695
1591802557.994452,21,49.67237854003906
1591802647.984479,22,47.15126037597656
1591802738.720535,23,44.77926254272461
1591802830.284775,24,42.4642333984375
1591802920.551922,25,40.30356216430664
1591803019.248369,26,38.25986862182617
1591803110.74742,27,36.325565338134766
1591803203.334672,28,34.47591018676758
1591803294.789984,29,32.748146057128906
1591803387.439571,30,31.074813842773438
1591803485.76543,31,29.520658493041992
1591803575.887862,32,28.02751922607422
1591803669.482687,33,26.610078811645508
1591803761.352219,34,25.269947052001953
1591803854.165485,35,23.97873306274414
1591803954.256624,36,22.804061889648438
1591804047.08952,37,21.625263214111328
1591804138.038238,38,20.544485092163086
1591804227.943098,39,19.477983474731445
1591804318.903092,40,18.522254943847656
1591804417.531751,41,17.642066955566406
1591804508.350047,42,16.69930076599121
1591804599.294757,43,15.868440628051758
1591804691.138342,44,15.0973539352417
1591804781.841487,45,14.304781913757324
1591804880.544693,46,13.62746524810791
1591804970.3127,47,12.926065444946289
1591805059.504133,48,12.286184310913086
1591805148.686372,49,11.660674095153809
1591805237.915161,50,11.101151466369629
1591805336.110156,51,10.523959159851074
1591805425.290125,52,9.999064445495605
1591805514.477864,53,9.544181823730469
1591805603.675709,54,9.049912452697754
1591805692.842097,55,8.640227317810059
1591805790.364416,56,8.350488662719727
1591805879.552571,57,7.8500542640686035
1591805968.732735,58,7.456173896789551
1591806058.020809,59,7.142367839813232
1591806147.333727,60,6.7834649085998535
1591806244.713858,61,6.488160133361816
1591806333.850376,62,6.26693058013916
1591806423.058322,63,5.854227542877197
1591806512.677578,64,5.601464748382568
1591806606.405526,65,5.329033374786377
1591806706.675929,66,5.101381778717041
1591806797.806686,67,4.855216026306152
1591806887.505118,68,4.706089496612549
1591806976.806934,69,4.461367607116699
1591807066.322701,70,4.269044876098633
1591807165.805054,71,4.06892728805542
1591807257.37991,72,3.8421311378479004
1591807349.602404,73,3.7405142784118652
1591807440.00258,74,3.5751988887786865
1591807529.871947,75,3.3950724601745605
1591807629.679442,76,3.25242280960083
1591807723.003641,77,3.1338510513305664
1591807814.189838,78,3.07598614692688
1591807908.117043,79,2.8770101070404053
1591808002.174641,80,2.756166934967041
1591808103.917204,81,2.725959300994873
1591808194.387829,82,2.553187608718872
1591808285.840962,83,2.476417303085327
1591808376.859421,84,2.322136402130127
1591808467.266257,85,2.287355661392212
1591808566.03053,86,2.21934175491333
1591808656.93584,87,2.093677282333374
1591808748.012182,88,2.0154366493225098
1591808837.811381,89,1.9333784580230713
1591808927.270771,90,1.8795253038406372
1591809025.561441,91,1.961940884590149
1591809114.996468,92,1.7737774848937988
1591809204.379104,93,1.7147479057312012
1591809293.956441,94,1.623850703239441
1591809383.628337,95,1.5483015775680542
1591809482.134881,96,1.6375492811203003
1591809572.556382,97,1.5437557697296143
1591809664.423754,98,1.4869139194488525
1591809757.446009,99,1.4462391138076782
